pl_name,hostname,discoverymethod,disc_year,pl_eqt
Kepler-1271 b,Kepler-1271,Transit,2016,1484.0
EPIC 206032309 b,EPIC 206032309,Transit,2019,
HATS-64 b,HATS-64,Transit,2018,1793.0
Kepler-790 b,Kepler-790,Transit,2016,634.0
TOI-2876 b,TOI-2876,Transit,2025,929.0
Kepler-395 b,Kepler-395,Transit,2014,576.0
KMT-2022-BLG-2286L b,KMT-2022-BLG-2286L,Microlensing,2024,
Kepler-80 f,Kepler-80,Transit,2016,1054.0
TOI-1011 b,TOI-1011,Transit,2025,1364.0
Kepler-397 b,Kepler-397,Transit,2014,539.0
TOI-1846 b,TOI-1846,Transit,2025,568.1
Kepler-967 b,Kepler-967,Transit,2016,638.0
HIP 94235 b,HIP 94235,Transit,2022,1060.0
Kepler-1957 b,Kepler-1957,Transit,2021,1099.0
HD 95735 c,GJ 411,Radial Velocity,2021,
Kepler-515 b,Kepler-515,Transit,2016,564.0
HD 126614 b,HD 126614,Radial Velocity,2009,
GU Psc b,GU Psc,Imaging,2014,1050.0
K2-98 b,K2-98,Transit,2016,1185.0
HS Psc b,HS Psc,Radial Velocity,2024,
Kepler-113 c,Kepler-113,Transit,2014,628.0
G 261-6 b,G 261-6,Radial Velocity,2025,322.3
Kepler-219 b,Kepler-219,Transit,2014,1307.0
KOI-351 c,KOI-351,Transit,2013,987.0
Kepler-610 b,Kepler-610,Transit,2016,888.0
K2-278 b,K2-278,Transit,2018,1711.0
Kepler-297 c,Kepler-297,Transit,2014,409.0
OGLE-2015-BLG-0051L b,OGLE-2015-BLG-0051L,Microlensing,2016,
Kepler-1314 b,Kepler-1314,Transit,2016,625.0
MOA-2008-BLG-310L b,MOA-2008-BLG-310L,Microlensing,2009,
HD 10180 h,HD 10180,Radial Velocity,2010,
Kepler-1053 b,Kepler-1053,Transit,2016,953.0
Kepler-33 e,Kepler-33,Transit,2011,752.0
HD 93351 c,HD 93351,Radial Velocity,2022,
Kepler-1313 b,Kepler-1313,Transit,2016,1012.0
Kepler-1932 b,Kepler-1932,Transit,2021,1891.0
Kepler-1791 b,Kepler-1791,Transit,2021,1021.0
Kepler-340 c,Kepler-340,Transit,2014,946.0
HD 90156 b,HD 90156,Radial Velocity,2009,
K2-384 b,K2-384,Transit,2022,
Kepler-1163 b,Kepler-1163,Transit,2016,1211.0
TOI-2068 b,TOI-2068,Transit,2024,520.62
HD 106515 A b,HD 106515 A,Radial Velocity,2012,
Kepler-1382 b,Kepler-1382,Transit,2016,959.0
Kepler-1546 b,Kepler-1546,Transit,2016,671.0
Kepler-123 b,Kepler-123,Transit,2014,817.0
Kepler-1890 b,Kepler-1890,Transit,2021,1328.0
Kepler-1288 b,Kepler-1288,Transit,2016,2017.0
Kepler-1030 b,Kepler-1030,Transit,2016,529.0
HD 10647 b,HD 10647,Radial Velocity,2006,
Kepler-112 b,Kepler-112,Transit,2014,809.0
GJ 1151 c,GJ 1151,Radial Velocity,2023,
Kepler-581 b,Kepler-581,Transit,2016,521.0
Kepler-1261 b,Kepler-1261,Transit,2016,396.0
Kepler-1077 b,Kepler-1077,Transit,2016,576.0
TOI-815 c,TOI-815,Transit,2024,469.0
Kepler-1451 b,Kepler-1451,Transit,2016,523.0
KMT-2023-BLG-0416L b,KMT-2023-BLG-0416L,Microlensing,2024,
Kepler-190 c,Kepler-190,Transit,2014,948.0
HD 153950 b,HD 153950,Radial Velocity,2008,
Kepler-1431 b,Kepler-1431,Transit,2016,1064.0
Kepler-1132 b,Kepler-1132,Transit,2016,384.0
HD 260655 b,HD 260655,Transit,2022,709.0
Kepler-216 c,Kepler-216,Transit,2014,814.0
CoRoT-13 b,CoRoT-13,Transit,2010,1700.0
WASP-171 b,WASP-171,Transit,2019,1642.0
Kepler-413 b,Kepler-413,Transit,2014,
Kepler-80 c,Kepler-80,Transit,2012,495.0
HR 2562 b,HR 2562,Imaging,2016,1255.0
HATS-49 b,HATS-49,Transit,2020,834.8
GJ 86 b,GJ 86,Radial Velocity,1999,
