pl_name,hostname,discoverymethod,disc_year,pl_eqt
Kepler-1691 b,Kepler-1691,Transit,2020,1283
TOI-2184 b,TOI-2184,Transit,2022,1676.05
K2-254 b,K2-254,Transit,2018,791
WASP-190 b,WASP-190,Transit,2019,1500
WASP-47 c,WASP-47,Radial Velocity,2015,247
Kepler-940 b,Kepler-940,Transit,2016,486
Kepler-398 c,Kepler-398,Transit,2014,536
WASP-74 b,WASP-74,Transit,2015,1926
Kepler-180 c,Kepler-180,Transit,2014,540
TRAPPIST-1 d,TRAPPIST-1,Transit,2016,286.2
Kepler-524 c,Kepler-524,Transit,2016,1574
Kepler-1316 b,Kepler-1316,Transit,2016,446
Kepler-1916 b,Kepler-1916,Transit,2021,635
Kepler-399 d,Kepler-399,Transit,2014,486
Kepler-534 c,Kepler-534,Transit,2021,933
TOI-5817 b,TOI-5817,Transit,2025,950
EPIC 212297394 b,EPIC 212297394,Transit,2019,1149
Kepler-1063 b,Kepler-1063,Transit,2016,931
WASP-165 b,WASP-165,Transit,2018,1624
Kepler-408 b,Kepler-408,Transit,2014,1561
Kepler-1542 b,Kepler-1542,Transit,2016,1160
Kepler-1311 d,Kepler-1311,Transit,2021,391
Kepler-1866 b,Kepler-1866,Transit,2021,834
K2-165 d,K2-165,Transit,2018,629.38
Kepler-391 c,Kepler-391,Transit,2014,662
