pl_name,hostname,discoverymethod,disc_year,pl_eqt,st_teff
Kepler-1705 b,Kepler-1705,Transit,2021,789.0,5775.0
Kepler-300 c,Kepler-300,Transit,2014,516.0,5986.0
HAT-P-52 b,HAT-P-52,Transit,2015,1218.0,5131.0
Kepler-1392 b,Kepler-1392,Transit,2016,714.0,5479.0
TOI-669 b,TOI-669,Transit,2023,1124.85,5625.0
TOI-4438 b,TOI-4438,Transit,2024,435.0,3422.0
K2-38 c,K2-38,Transit,2016,916.0,5705.0
Kepler-1982 b,Kepler-1982,Transit,2023,1282.0,6451.0
Kepler-347 b,Kepler-347,Transit,2014,908.0,6088.0
WASP-184 b,WASP-184,Transit,2019,1480.0,6000.0
